Nr;Dlugosc_kroku;x1_0;x2_0;x1_HJ;x2_HJ;f_HJ;calls_HJ;Min_global_HJ;x1_Rosen;x2_Rosen;f_Rosen;calls_Rosen;Min_global_Rosen
17;0,500000;0,065318;-0,077400;0,000865;0,000725;0,000041;75;TAK;-0,000112;0,000725;0,000017;31;TAK
18;0,500000;-0,501249;-0,646426;0,000705;0,000058;0,000016;97;TAK;0,000033;0,000058;0,000000;47;TAK
19;0,500000;0,966152;0,371866;0,774746;0,774210;1,239682;92;NIE;0,774746;0,776163;1,239740;35;NIE
20;0,500000;-0,739685;-0,408912;-0,774841;-0,000709;0,619854;82;NIE;-0,774841;0,001244;0,619887;35;NIE
21;0,500000;0,680048;-0,258178;0,773798;0,775025;1,239704;81;NIE;0,774652;-0,000366;0,619842;43;NIE
22;0,500000;0,797635;0,651115;0,774198;0,000725;0,619862;99;NIE;0,774198;0,774162;1,239692;27;NIE
23;0,500000;0,847661;-0,949678;0,775396;-0,773896;1,239710;88;NIE;0,774419;-0,773896;1,239698;35;NIE
24;0,500000;0,055408;-0,070516;0,000721;-0,000203;0,000018;67;TAK;-0,000256;-0,000203;0,000003;35;TAK
25;0,500000;-0,042593;0,977190;0,000376;0,774065;0,619855;83;NIE;0,000376;0,774065;0,619855;31;NIE
26;0,500000;0,476194;-0,688023;0,775022;-0,773961;1,239695;100;NIE;0,775022;-0,774693;1,239677;43;NIE
27;0,500000;-0,471272;-0,031148;-0,000569;0,000102;0,000011;68;TAK;-0,000569;-0,000020;0,000010;31;TAK
28;0,500000;-0,652646;0,217139;-0,000302;0,773780;0,619867;96;NIE;-0,000302;0,774268;0,619846;39;NIE
29;0,500000;0,779442;0,868476;0,775536;0,774726;1,239695;69;NIE;0,775048;0,774726;1,239678;27;NIE
